genes,signedlogP
Oarb_100001_c0_g1,0.715100378993113
Oarb_100009_c0_g1,-0.27094173589977
Oarb_100012_c0_g1,-0.662269724426866
Oarb_100023_c0_g1,2.04841869165257
Oarb_100037_c0_g1,1.09841946558839
Oarb_100039_c1_g2,0.172129164301735
Oarb_100054_c0_g1,0.346681317799544
Oarb_100054_c2_g1,29.7207828340928
Oarb_100054_c2_g4,40.7415618445747
Oarb_100054_c2_g6,30.142736051579
Oarb_100058_c0_g1,-0.85515262382182
Oarb_100059_c0_g1,0.0310548970560678
Oarb_100078_c0_g1,0.700882077267164
Oarb_100106_c0_g1,0.154557297265563
Oarb_100107_c0_g1,-0.190055894816075
Oarb_100115_c0_g1,-0.04985403101086
Oarb_100118_c0_g1,2.97172041366823
Oarb_100120_c1_g1,-0.987776158470717
Oarb_100138_c0_g1,0.71670993644522
Oarb_100145_c0_g3,-3.678452451183
Oarb_100172_c0_g1,-3.41234846399158
Oarb_100175_c1_g1,0.0048626382228661
Oarb_100175_c1_g2,-0.521979577906205
Oarb_100181_c0_g1,-0.169347170174446
Oarb_100181_c1_g1,-0.232866590292643
Oarb_100183_c0_g1,0.59043396919732
Oarb_100188_c0_g1,-0.423022832884083
Oarb_100193_c0_g1,0.291324807955346
Oarb_100202_c0_g1,1.00502347224789
Oarb_100214_c0_g1,-0.673605103164527
Oarb_100218_c0_g1,0.260062743622018
Oarb_100222_c0_g1,0.487347469271975
Oarb_100229_c0_g1,-0.0559727485874143
Oarb_100239_c0_g1,0.0453793275137965
Oarb_100248_c1_g1,2.0679124932213
Oarb_100254_c0_g1,0.8667222228983
Oarb_100266_c0_g1,-1.16144482539357
Oarb_100268_c0_g1,1.01972372002704
Oarb_100277_c0_g1,-0.1798480938734
Oarb_100283_c0_g1,0.918359194448428
Oarb_100298_c1_g2,0.528632779127721
Oarb_100302_c1_g1,-0.59362038503969
Oarb_100314_c0_g1,-0.359693222712402
Oarb_100328_c1_g1,0.608850133153382
Oarb_100337_c0_g1,-0.378945386409728
Oarb_100343_c0_g1,-0.217651206715497
Oarb_100352_c0_g1,0.607660444017916
Oarb_100364_c0_g1,0.659198296033343
Oarb_100389_c0_g1,-1.59556942617385
Oarb_100397_c0_g1,1.68731020528415
Oarb_100414_c0_g1,-0.302197017632535
Oarb_100457_c0_g1,0.308196767390813
Oarb_100462_c0_g1,-0.0111270958812709
Oarb_100465_c0_g1,0.208759395151586
Oarb_100473_c0_g1,0.0634693822171305
Oarb_100478_c0_g1,0.166040975531145
Oarb_100484_c0_g1,-0.186100088405972
Oarb_100494_c2_g1,0.437738908482999
Oarb_100496_c0_g1,-1.7148627711844
Oarb_100497_c0_g1,0.207641026969707
Oarb_100499_c0_g5,-0.0341107498044043
Oarb_100510_c0_g1,-0.386797661075242
Oarb_100516_c0_g1,-0.286161731024934
Oarb_100516_c1_g2,-0.900989795353523
Oarb_100535_c0_g1,0.122681872433682
Oarb_100544_c0_g2,1.4500509106409
Oarb_100545_c0_g1,0.624962043874497
Oarb_100547_c0_g1,-0.0917964652986936
Oarb_100551_c0_g1,0.724539921467815
Oarb_100562_c0_g1,-0.0942601329577753
Oarb_100563_c0_g1,0.598616032703899
Oarb_100565_c0_g1,0.608383598389218
Oarb_100565_c1_g1,-0.414938603360191
Oarb_100576_c0_g1,0.418807361931739
Oarb_100583_c0_g2,-2.54924361861301
Oarb_100590_c0_g1,2.36430995687405
Oarb_100615_c0_g1,0.886361835807142
Oarb_100625_c1_g1,0.112591203710945
Oarb_100625_c1_g2,0.377110819049824
Oarb_100638_c1_g1,0.753621172595086
Oarb_100649_c0_g1,1.0548402433379
Oarb_100655_c1_g1,0.37143603496281
Oarb_100663_c1_g2,1.05999004201358
Oarb_100663_c1_g3,0.148041911674066
Oarb_100665_c2_g1,0.348868933994733
Oarb_100670_c0_g1,0.352239637308293
Oarb_100674_c0_g1,-0.858213373148964
Oarb_100676_c1_g1,0.306554773645869
Oarb_100678_c1_g1,0.406582814514645
Oarb_100698_c1_g1,-0.566922093070797
Oarb_100700_c1_g1,1.12208459149295
Oarb_100702_c0_g1,-0.805847638465791
Oarb_100708_c0_g1,1.41938756620672
Oarb_100719_c3_g1,0.81123047545234
Oarb_100728_c0_g1,-3.26071208486662
Oarb_100734_c0_g1,-1.08625145517043
Oarb_100735_c0_g1,-1.01772310221126
Oarb_100747_c0_g1,-0.0142897949892055
Oarb_100766_c0_g1,-1.97700063111729
Oarb_100767_c0_g1,-1.64264192236698
Oarb_100790_c0_g1,1.78289442871218
Oarb_100790_c1_g2,-0.475090530488702
Oarb_100791_c0_g1,-1.40889147260412
Oarb_100795_c2_g3,-1.08923431867018
Oarb_100799_c0_g1,0.577772087554486
Oarb_100800_c0_g1,0.493626696311725
Oarb_100804_c1_g1,1.91446378515286
Oarb_100812_c0_g1,-0.663121453811546
Oarb_100813_c1_g1,1.7055606258824
Oarb_100827_c0_g1,0.895650203313051
Oarb_100828_c1_g1,-0.14236385108347
Oarb_100831_c0_g1,-0.0764965811016448
Oarb_100839_c1_g1,-1.68315548419005
Oarb_100844_c1_g1,1.24808865292619
Oarb_100850_c0_g1,0.725719175732784
Oarb_100852_c0_g1,-1.72832309601227
Oarb_100852_c1_g1,-0.49481072614816
Oarb_100857_c0_g3,-1.1568260496319
Oarb_100858_c0_g1,-0.045011686128574
Oarb_100858_c0_g2,0.963929773492108
Oarb_100864_c0_g1,1.15973491349844
Oarb_100866_c2_g1,0.520446418624147
Oarb_100867_c0_g1,0.445120894948367
Oarb_100868_c0_g1,-0.434250385880395
Oarb_100872_c2_g1,-0.194977945235946
Oarb_100874_c1_g1,-2.12178920444661
Oarb_100875_c0_g1,-1.33249499641924
Oarb_100883_c0_g2,-0.382408685950773
Oarb_100884_c0_g1,-0.346122363063107
Oarb_100889_c0_g1,0.249320067961362
Oarb_100889_c0_g2,-1.61589985304821
Oarb_100911_c0_g1,0.567566294153914
Oarb_100915_c0_g1,0.404360724547848
Oarb_100920_c0_g1,-0.651173301068281
Oarb_100924_c0_g1,-1.34967247554019
Oarb_100944_c0_g1,0.122593220131351
Oarb_100947_c0_g1,0.52490678966503
Oarb_100963_c0_g1,-0.487539638814288
Oarb_100970_c1_g1,1.96168723187699
Oarb_100972_c0_g1,-0.746606509731112
Oarb_100990_c1_g1,0.39909596657638
Oarb_100990_c1_g2,-0.659980546720625
Oarb_100993_c0_g1,-0.110195717813694
Oarb_100993_c0_g2,-3.25690773169589
Oarb_100998_c0_g1,-0.313353812964189
Oarb_100998_c1_g1,0.190666668807823
Oarb_101008_c0_g1,0.834174250772403
Oarb_101052_c0_g1,-0.105366406824822
Oarb_101055_c0_g1,-0.449267032738948
